Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,European Union,EUU,8.98176846645812,8.96648107340237,8.86457575550822,9.27716550106276,9.57806942522037,10.0275617190692,10.685367700046,11.7592819867719,12.489770926183,13.6527413216292,14.4819868668562,14.6476287872772,16.0638884841707,16.8108248593668,17.4502355668158,17.6013864447651,17.5430290745386,17.6948545926672,18.7304117385027,19.3462835156226,21.121106310957,..,..,..
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,European Union,EUU,20.0859777665099,20.0411339207211,19.383858556347,19.5908906793762,18.7069069452843,18.681619529961,18.288727686493,17.9487921270068,18.2770175481957,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,European Union,EUU,77.3691622042229,77.2359639775046,77.0898352452003,77.063821297462,76.6739390636508,76.409536369311,76.1264281487445,75.7229335752399,74.8315061905348,73.8037383309163,73.1851451802058,72.8294959633627,71.8636525293524,71.0335864186312,69.6752401615765,69.8860261706385,..,..,..,..,..,..,..,..
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,European Union,EUU,99.1172952907322,99.5054628998046,98.4176868976334,99.4726323783134,98.0019450098077,96.2967102683444,93.524238924036,89.2138283608138,88.1972499032889,86.8021506550724,88.427788205831,83.8140381130881,83.3314547100778,82.4604721993732,78.3139600568525,77.5307336573002,..,..,..,..,..,..,..,..
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,European Union,EUU,57960.669267,57916.232858,57712.321484,60033.307883,58413.057576,59761.334218,59919.803381,58919.801361,59803.199838,57643.414612,59732.739189,56232.727254,56678.826513,55285.231238,51207.066834,51849.77783,51397.322413,52123.272324,52061.122233,51534.872147,50002.322057,..,..,..
Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,European Union,EUU,10.0338494874782,10.0323612350303,10.0285385121261,10.2991994422165,10.3287958935641,10.5060147813463,10.9507683652119,10.944668251265,11.5283817857679,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,European Union,EUU,25435.259756,25663.512676,25807.422005,26505.351206,26826.062114,27001.430812,27653.747445,28354.452668,28275.174717,27727.398058,28324.140692,27952.213646,27968.129445,27269.345809,27004.697791,27386.835765,27501.069819,27958.269819,28104.869819,27762.769819,25424.669819,..,..,..
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
